Model,True Severity,Predicted Severity,Error Count,Percentage of Errors (%)
xlm_roberta_large,S4,S2,1889,95.59716599190283
xlm_roberta_large,S5,S2,74,3.7449392712550607
xlm_roberta_large,S3,S2,11,0.5566801619433198
xlm_roberta_large,S1,S2,2,0.10121457489878542
mbert,S4,S3,1834,94.43872296601442
mbert,S5,S3,58,2.9866117404737382
mbert,S2,S3,21,1.0813594232749741
mbert,S5,S4,16,0.8238928939237898
mbert,S4,S1,3,0.15447991761071062
distilbert_multilingual,S5,S4,61,46.21212121212121
distilbert_multilingual,S4,S5,24,18.181818181818183
distilbert_multilingual,S2,S4,20,15.151515151515152
distilbert_multilingual,S3,S4,9,6.8181818181818175
distilbert_multilingual,S4,S2,5,3.787878787878788
indic_bert,S4,S5,1889,98.12987012987013
indic_bert,S2,S5,23,1.194805194805195
indic_bert,S3,S5,11,0.5714285714285714
indic_bert,S1,S5,2,0.1038961038961039
