Model,True Specialist,Predicted Specialist,Error Count,Percentage of Errors (%)
xlm_roberta_large,GEN_MED,GI,628,33.209941829719725
xlm_roberta_large,SURGERY,GI,447,23.638286620835537
xlm_roberta_large,ORTHO,GI,180,9.518773135906928
xlm_roberta_large,CARDIO_PULM,GI,144,7.615018508725542
xlm_roberta_large,NEURO,GI,128,6.76890534108937
mbert,GEN_MED,GI,396,20.996818663838813
mbert,SURGERY,GI,368,19.51219512195122
mbert,GEN_MED,ENT_OPHTHALMO,149,7.900318133616119
mbert,ORTHO,GI,142,7.529162248144221
mbert,CARDIO_PULM,GI,113,5.9915164369035
distilbert_multilingual,GEN_MED,NEURO,314,17.0930865541644
distilbert_multilingual,SURGERY,NEURO,246,13.391399020141534
distilbert_multilingual,GEN_MED,ORTHO,225,12.248230811105062
distilbert_multilingual,SURGERY,ORTHO,122,6.641262928688079
distilbert_multilingual,ORTHO,NEURO,114,6.205770277626565
indic_bert,GEN_MED,OBGYN,628,32.862375719518575
indic_bert,SURGERY,OBGYN,447,23.390894819466247
indic_bert,ORTHO,OBGYN,180,9.419152276295135
indic_bert,CARDIO_PULM,OBGYN,144,7.535321821036106
indic_bert,NEURO,OBGYN,128,6.698063840920984
