Class,Precision,Recall,F1,Support
CARDIO_PULM,0.0,0.0,0.0,144
ED,0.0,0.0,0.0,20
ENT_OPHTHALMO,0.0,0.0,0.0,92
GEN_MED,0.5166666666666667,0.04936305732484077,0.09011627906976744,628
GI,0.0,0.0,0.0,108
NEURO,0.06529850746268656,0.546875,0.11666666666666667,128
OBGYN,0.1,0.011363636363636364,0.02040816326530612,88
ONCOLOGY_HEME,0.022123893805309734,0.125,0.03759398496240601,40
ORTHO,0.088,0.3055555555555556,0.13664596273291926,180
PEDS,0.0,0.0,0.0,24
PSYCH,0.0,0.0,0.0,16
RENAL_URO,0.0,0.0,0.0,84
SURGERY,0.0,0.0,0.0,447
