Class,Precision,Recall,F1,Support
CARDIO_PULM,0.0,0.0,0.0,144
ED,0.0,0.0,0.0,20
ENT_OPHTHALMO,0.056962025316455694,0.1956521739130435,0.08823529411764706,92
GEN_MED,0.375,0.004777070063694267,0.009433962264150943,628
GI,0.057951482479784364,0.7962962962962963,0.10804020100502512,108
NEURO,0.0,0.0,0.0,128
OBGYN,0.0,0.0,0.0,88
ONCOLOGY_HEME,0.05,0.025,0.03333333333333333,40
ORTHO,0.046875,0.016666666666666666,0.02459016393442623,180
PEDS,0.0,0.0,0.0,24
PSYCH,0.0,0.0,0.0,16
RENAL_URO,0.03773584905660377,0.023809523809523808,0.029197080291970802,84
SURGERY,0.0,0.0,0.0,447
