source,triage_level,count,is_valid
chatdoctor_healthcaremagic,,111976,True
chatdoctor_icliniq,,7321,True
fedmml_ed_triage,1,921,True
fedmml_ed_triage,2,16347,True
fedmml_ed_triage,3,39622,True
fedmml_ed_triage,4,22424,True
fedmml_ed_triage,5,4863,True
kaggle_medical_triage,2,1,True
kaggle_medical_triage,4,1,True
l3cube_code_mixed,,43924,True
meddialog_en,,1,True
medical_meadow_medqa,,10178,True
medqa_usmle,,14367,True
mtsamples,,2371,True
neiss,,7137339,True
nhamcs_ed,1,444,True
nhamcs_ed,2,4318,True
nhamcs_ed,3,14689,True
nhamcs_ed,4,7857,True
nhamcs_ed,5,1113,True
nhamcs_ed,,13088,True
pmc_patients,,167034,True
symptom2disease,,1153,True
