dataset_name,raw_files_detected,raw_rows_read,rows_emitted,rows_after_normalization,rows_after_schema_validation,rows_removed_during_validation,rows_after_deduplication,rows_exported,validation_loss,deduplication_loss,retention_pct,duplicate_pct,avg_text_length,median_text_length
mtsamples,2,4999,4999,4999,4999,0,2371,2371,0,2628,47.43,52.57,2988.2,2591.0
pmc_patients,7,167034,167034,167034,167034,0,167034,167034,0,0,100.0,0.0,2765.3,2491.0
medqa_usmle,125,14369,14369,14369,14369,0,14367,14367,0,2,99.99,0.01,723.4,693.0
medical_meadow_medqa,5,10178,10178,10178,10178,0,10178,10178,0,0,100.0,0.0,909.3,881.0
symptom2disease,5,1200,1200,1200,1200,0,1153,1153,0,47,96.08,3.92,171.1,169.0
chatdoctor_healthcaremagic,5,112156,112156,112156,112156,0,111976,111976,0,180,99.84,0.16,421.1,352.0
chatdoctor_icliniq,5,7321,7321,7321,7321,0,7321,7321,0,0,100.0,0.0,453.1,347.0
neiss,5,7326429,7326429,7326429,7315729,10700,7137339,7137339,10700,178390,97.42,2.44,87.6,78.0
nhamcs_ed,11,50548,50548,50548,50548,0,41509,41509,0,9039,82.12,17.88,94.6,88.0
fedmml_ed_triage,6,87234,87234,87234,87234,0,84177,84177,0,3057,96.5,3.5,255.5,251.0
kaggle_medical_triage,1,2,2,2,2,0,0,0,0,2,0.0,100.0,0.0,0.0
l3cube_code_mixed,12,44455,44455,44455,44455,0,43924,43924,0,531,98.81,1.19,151.2,139.0
meddialog_en,2,1,1,1,1,0,1,1,0,0,100.0,0.0,23.0,23.0
